gk,jenis_MAKANAN,daerah_PERKOTAAN,provinsi_JAWA TIMUR,periode_SEPTEMBER,Cluster,jenis_original,daerah_original,provinsi_original,periode_original,gk_original
1.4052604665998052,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,SEPTEMBER,505608.0
1.5742318614770268,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,MARET,530251.0
1.7588984039772633,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,SEPTEMBER,557183.0
-0.8147286838209433,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,181842.0
-0.780095136139052,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,186893.0
-0.7356701202152799,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,193372.0
-0.7132279104423973,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,196645.0
-0.7549307884865989,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,190563.0
-0.6780252508108728,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,201779.0
-0.6278611179974267,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,209095.0
-0.6152926577121552,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,210928.0
-0.7772770034727964,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,187304.0
-0.7161626082067706,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,196217.0
-0.663358618759484,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,203918.0
-0.6506804501465723,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,205767.0
-0.6614798636486469,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,204192.0
-0.6255503863465066,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,209432.0
-0.5656153556026121,1.4999999999999998,1.4142135623730951,-0.17149858514250885,-1.0,12,MAKANAN,PERKOTAAN,SULAWESI SELATAN,MARET,218173.0
-0.47857551116112973,1.4999999999999998,1.4142135623730951,-0.17149858514250885,1.0,13,MAKANAN,PERKOTAAN,SULAWESI SELATAN,SEPTEMBER,230867.0
-0.5819550396505129,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,215790.0
-0.5116251448627167,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,226047.0
-0.4410758334196403,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAAN,SULAWESI SELATAN,MARET,236336.0
-0.41285336613421875,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAAN,SULAWESI SELATAN,SEPTEMBER,240452.0
-0.6116997099819411,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,-1.0,8,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,MARET,211452.0
-0.5561667258846066,1.4999999999999998,-0.7071067811865475,-0.17149858514250885,1.0,11,MAKANAN,PERDESAANPERKOTAAN,SULAWESI SELATAN,SEPTEMBER,219551.0
